subject,rt,stim,se,category,response
12,5563,2900.1.jpg,143,NegativeSocial,1
12,17545,7224.jpg,143,NeutralNonsocial,1
12,1463,8540.jpg,143,PositiveSocial,1
12,3001,2154.jpg,143,PositiveSocial,1
12,1466,2580.jpg,143,NeutralSocial,1
12,14894,5600.jpg,143,PositiveNonsocial,1
12,2877,2165.jpg,143,PositiveSocial,1
12,1429,7035.jpg,143,NeutralNonsocial,1
12,14462,2396.jpg,143,NeutralSocial,0
12,3781,7230.jpg,143,PositiveNonsocial,1
12,5125,2597.jpg,143,NeutralSocial,1
12,1640,9611.jpg,143,NegativeNonsocial,1
12,2315,2091.jpg,143,PositiveSocial,1
12,2431,7480.jpg,143,PositiveNonsocial,1
12,2103,9471.jpg,143,NegativeNonsocial,1
12,5826,1463.jpg,143,PositiveNonsocial,1
12,1685,5910.jpg,143,PositiveNonsocial,1
12,2043,9415.jpg,143,NegativeSocial,0
12,5088,1920.jpg,143,PositiveNonsocial,1
12,3943,8461.jpg,143,PositiveSocial,1
12,1705,7055.jpg,143,NeutralNonsocial,1
12,8971,9301.jpg,143,NegativeNonsocial,1
12,6000,2397.jpg,143,NeutralSocial,1
12,16471,9000.jpg,143,NegativeNonsocial,1
12,17142,7041.jpg,143,NeutralNonsocial,1
12,2144,9419.jpg,143,NegativeSocial,1
12,3445,4610.jpg,143,PositiveSocial,1
12,3199,1220.jpg,143,NegativeNonsocial,1
12,2970,8502.jpg,143,PositiveNonsocial,1
12,3674,9440.jpg,143,NegativeNonsocial,1
12,4447,2579.jpg,143,NeutralSocial,0
12,5276,2205.jpg,143,NegativeSocial,1
12,2420,7705.jpg,143,NeutralNonsocial,1
12,1785,5120.jpg,143,NeutralNonsocial,1
12,3251,9830.jpg,143,NegativeNonsocial,1
12,7385,9429.jpg,143,NegativeSocial,1
12,1767,7090.jpg,143,NeutralNonsocial,1
12,2005,4605.jpg,143,NeutralSocial,1
12,13707,3101.jpg,143,NegativeSocial,1
12,3041,7330.jpg,143,PositiveNonsocial,1
12,2529,7217.jpg,143,NeutralNonsocial,1
12,2395,2650.jpg,143,PositiveSocial,1
12,3170,7595.jpg,143,NeutralNonsocial,1
12,3913,2104.jpg,143,NeutralSocial,1
12,1677,9620.jpg,143,NegativeNonsocial,1
12,1530,9520.jpg,143,NegativeSocial,1
12,1717,2276.jpg,143,NegativeSocial,1
13,2784,2580.jpg,111,NeutralSocial,1
13,3468,2091.jpg,111,PositiveSocial,1
13,2196,3230.jpg,111,NegativeSocial,1
13,1282,9471.jpg,111,NegativeNonsocial,1
13,1949,2398.jpg,111,PositiveSocial,0
13,1256,2550.jpg,111,PositiveSocial,1
13,1495,1463.jpg,111,PositiveNonsocial,1
13,1910,9561.jpg,111,NegativeNonsocial,1
13,1067,9140.jpg,111,NegativeNonsocial,1
13,1206,1440.jpg,111,PositiveNonsocial,1
13,1716,8540.jpg,111,PositiveSocial,1
13,596,7090.jpg,111,NeutralNonsocial,1
13,844,8420.jpg,111,PositiveSocial,1
13,1307,7480.jpg,111,PositiveNonsocial,1
13,1126,1270.jpg,111,NegativeNonsocial,1
13,1081,9440.jpg,111,NegativeNonsocial,1
13,2707,2703.jpg,111,NegativeSocial,0
13,994,2209.jpg,111,PositiveSocial,1
13,1505,9301.jpg,111,NegativeNonsocial,1
13,2308,9419.jpg,111,NegativeSocial,1
13,1329,7501.jpg,111,PositiveNonsocial,1
13,2795,9911.jpg,111,NegativeNonsocial,0
13,1304,5120.jpg,111,NeutralNonsocial,1
13,689,2206.jpg,111,NeutralSocial,1
13,846,2095.jpg,111,NegativeSocial,1
13,1419,7506.jpg,111,NeutralSocial,1
13,2747,8496.jpg,111,PositiveSocial,1
13,1352,9620.jpg,111,NegativeNonsocial,1
13,702,5910.jpg,111,PositiveNonsocial,1
13,938,6150.jpg,111,NeutralNonsocial,1
13,972,5600.jpg,111,PositiveNonsocial,1
13,673,2393.jpg,111,NeutralSocial,1
13,1542,2446.jpg,111,NeutralSocial,1
13,1275,7010.jpg,111,NeutralNonsocial,1
13,1668,4610.jpg,111,PositiveSocial,1
13,902,9280.jpg,111,NegativeNonsocial,1
13,883,2276.jpg,111,NegativeSocial,1
13,786,7224.jpg,111,NeutralNonsocial,1
13,588,9000.jpg,111,NegativeNonsocial,1
13,1772,7595.jpg,111,NeutralNonsocial,0
13,1170,2375.1.jpg,111,NegativeSocial,1
13,863,2104.jpg,111,NeutralSocial,1
13,934,9520.jpg,111,NegativeSocial,1
13,2112,9253.jpg,111,NegativeSocial,1
13,980,7235.jpg,111,NeutralNonsocial,0
13,626,7055.jpg,111,NeutralNonsocial,1
13,1190,2579.jpg,111,NeutralSocial,1
13,666,9630.jpg,111,NegativeNonsocial,1
13,1290,7705.jpg,111,NeutralNonsocial,1
13,684,5760.jpg,111,PositiveNonsocial,1
13,1923,9220.jpg,111,NegativeSocial,0
13,901,7230.jpg,111,PositiveNonsocial,1
13,1250,2224.jpg,111,PositiveSocial,1
13,691,2154.jpg,111,PositiveSocial,1
13,843,8461.jpg,111,PositiveSocial,1
13,1186,2340.jpg,111,PositiveSocial,1
13,1580,2388.jpg,111,PositiveSocial,1
13,625,9560.jpg,111,NegativeNonsocial,1
13,1007,9611.jpg,111,NegativeNonsocial,1
13,885,2595.jpg,111,NeutralSocial,1
13,806,7460.jpg,111,PositiveNonsocial,1
13,1154,2597.jpg,111,NeutralSocial,1
13,649,7002.jpg,111,NeutralNonsocial,1
