Subject,Group ,Score,Stimulus,Session
12,1,0.625,C,3
12,1,1.125,C,4
12,1,1.125,C,5
12,1,1.75,C,6
12,1,2.375,C,7
12,1,0.875,C,8
12,1,1.125,C,9
12,1,1.75,C,10
12,1,1.25,C,11
12,1,1.375,C,12
12,1,1.5,C,13
12,1,1.5,C,14
12,1,3,C,15
12,1,0.75,C,16
12,1,5.5,L,1
12,1,0.75,L,2
12,1,0.75,L,3
12,1,0.5,L,4
12,1,1,L,5
12,1,2.875,L,6
12,1,3.25,L,7
12,1,3.625,L,8
12,1,2.75,L,9
12,1,1.125,L,10
12,1,2,L,11
12,1,2.875,L,12
12,1,2,L,13
12,1,2.875,L,14
12,1,0.75,L,15
12,1,1.25,L,16
12,1,1.875,CL,1
12,1,0.6875,CL,2
12,1,0.75,CL,3
12,1,0.75,CL,4
12,1,1.1875,CL,5
12,1,3.9375,CL,6
12,1,4.625,CL,7
12,1,6.6875,CL,8
12,1,8.125,CL,9
12,1,9.3125,CL,10
12,1,9.5625,CL,11
12,1,11.9375,CL,12
12,1,11.5625,CL,13
12,1,11.875,CL,14
12,1,13.8125,CL,15
12,1,13.9375,CL,16
13,1,1.75,C,1
13,1,1.625,C,2
13,1,1.875,C,3
13,1,2,C,4
13,1,1.375,C,5
13,1,1.25,C,6
13,1,4.625,C,7
13,1,3.875,C,8
13,1,3,C,9
13,1,2.25,C,10
13,1,3,C,11
13,1,3.125,C,12
13,1,2.875,C,13
13,1,1.125,C,14
13,1,3.375,C,15
13,1,1.75,C,16
13,1,1.375,L,1
13,1,2,L,2
13,1,2.625,L,3
13,1,2.375,L,4
13,1,1.625,L,5
13,1,2.25,L,6
13,1,3.125,L,7
13,1,0.625,L,8
13,1,0.625,L,9
13,1,0.625,L,10
13,1,0.875,L,11
13,1,0.75,L,12
13,1,1.375,L,13
13,1,0.125,L,14
13,1,2,L,15
13,1,0.875,L,16
13,1,2.1875,CL,1
13,1,1.1875,CL,2
13,1,3.3125,CL,3
13,1,3.4375,CL,4
13,1,1.875,CL,5
13,1,1.8125,CL,6
13,1,4.5,CL,7
13,1,3.8125,CL,8
13,1,4.625,CL,9
13,1,4.625,CL,10
13,1,4.0625,CL,11
13,1,4.9375,CL,12
13,1,4.5625,CL,13
13,1,4.25,CL,14
13,1,3.9375,CL,15
13,1,4.5,CL,16
14,1,1.5,C,1
14,1,1.5,C,2
14,1,1.125,C,3
14,1,2.625,C,4
14,1,4.5,C,5
14,1,4.75,C,6
14,1,7.375,C,7
14,1,5.625,C,8
14,1,9.125,C,9
14,1,10,C,10
14,1,9.5,C,11
14,1,5,C,12
14,1,16.625,C,13
14,1,8.125,C,14
14,1,12.5,C,15
14,1,13.5,C,16
14,1,2.375,L,1
14,1,0.375,L,2
14,1,1,L,3
14,1,3.75,L,4
14,1,5.625,L,5
14,1,3.5,L,6
14,1,5.5,L,7
14,1,4.875,L,8
14,1,2.5,L,9
14,1,2.625,L,10
14,1,2.25,L,11
14,1,2.25,L,12
14,1,0.875,L,13
14,1,2.875,L,14
14,1,3.125,L,15
14,1,4.125,L,16
14,1,1.25,CL,1
14,1,0.5,CL,2
14,1,2.0625,CL,3
14,1,2.625,CL,4
14,1,4.3125,CL,5
14,1,4.875,CL,6
14,1,7.375,CL,7
14,1,9.5625,CL,8
14,1,11.5,CL,9
14,1,11.3125,CL,10
14,1,15.1875,CL,11
14,1,11.5,CL,12
14,1,18.8125,CL,13
14,1,19.75,CL,14
14,1,16.3125,CL,15
14,1,17.125,CL,16
15,1,1,C,1
15,1,1.375,C,2
15,1,2.5,C,3
15,1,3.5,C,4
15,1,3.75,C,5
15,1,4.375,C,6
15,1,6.75,C,7
15,1,3,C,8
15,1,3.625,C,9
15,1,2.375,C,10
15,1,1.625,C,11
15,1,1.625,C,12
15,1,2.25,C,13
15,1,2.875,C,14
15,1,2.125,C,15
15,1,4.75,C,16
15,1,0,L,1
15,1,0.625,L,2
15,1,3,L,3
15,1,2.375,L,4
15,1,1.75,L,5
15,1,2.125,L,6
15,1,2.75,L,7
15,1,1.25,L,8
15,1,1,L,9
15,1,0.875,L,10
15,1,1.25,L,11
15,1,0.75,L,12
15,1,1.125,L,13
15,1,1.75,L,14
15,1,1.5,L,15
15,1,1.875,L,16
15,1,0.0625,CL,1
15,1,1,CL,2
15,1,2.8125,CL,3
15,1,3,CL,4
15,1,4.125,CL,5
15,1,5.375,CL,6
15,1,5.125,CL,7
15,1,4.4375,CL,8
15,1,3.6875,CL,9
15,1,3.8125,CL,10
15,1,2.0625,CL,11
15,1,1.8125,CL,12
15,1,2.25,CL,13
15,1,2.75,CL,14
15,1,3.3125,CL,15
15,1,4.1875,CL,16
