pnum,year,landmark,DE,DB
44,2,Goddard Chapel,0.100069944,0.077363246
44,2,Olin Center,0.133315078,0.129027384
44,2,Tisch Library,0.093590234,0.035315078
45,2,Brown & Brew,0.107179809,0.032941603
45,2,Campus Center,0.111394259,0.017331574
45,2,Carmichael Hall,0.108404487,-0.024941603
45,2,Dewick,0.084851864,0.022787859
45,2,Dowling Hall,0.124558891,-0.023002969
45,2,Goddard Chapel,0.075237215,0.033363246
45,2,Olin Center,0.065249753,-0.032401188
45,2,Tisch Library,0.072575388,-0.051542065
46,2,Brown & Brew,0.177461564,0.136370175
46,2,Campus Center,0.064104256,0.011045859
46,2,Carmichael Hall,0.157462884,-0.070084461
46,2,Dewick,0.091904322,-0.035497855
46,2,Dowling Hall,0.133699109,0.028997031
46,2,Goddard Chapel,0.138601782,0.113648961
46,2,Olin Center,0.157600792,0.125313098
46,2,Tisch Library,0.078665127,-0.063256351
47,2,Brown & Brew,0.104003959,-0.028486968
47,2,Campus Center,0.102475751,-0.016382712
47,2,Carmichael Hall,0.187073573,-0.108655889
47,2,Dewick,0.100106895,0.054502145
47,2,Dowling Hall,0.14591488,-0.121574398
47,2,Goddard Chapel,0.117636424,0.056220389
47,2,Olin Center,0.111381062,0.064741669
47,2,Tisch Library,0.082455955,-0.082399208
48,2,Brown & Brew,0.085123722,0.063227318
48,2,Campus Center,0.176248763,0.157617288
48,2,Carmichael Hall,0.112040801,-0.061742109
48,2,Dewick,0.082345651,0.06060893
48,2,Dowling Hall,0.086360937,0.022997031
48,2,Goddard Chapel,0.120647311,0.071363246
48,2,Olin Center,0.115829759,0.065884527
48,2,Tisch Library,0.123190366,0.02417222
49,3,Brown & Brew,0.150209172,0.108655889
49,3,Campus Center,0.088512702,-0.038382712
49,3,Carmichael Hall,0.094881557,-0.030655889
49,3,Dewick,0.098354998,-0.098354998
49,3,Dowling Hall,0.054134609,0.012997031
49,3,Goddard Chapel,0.099744639,0.045648961
49,3,Olin Center,0.128163642,0.020741669
49,3,Tisch Library,0.104420323,0.061315078
50,3,Brown & Brew,0.258084461,0.258084461
50,3,Campus Center,0.164925767,0.155903002
50,3,Carmichael Hall,0.081291323,-0.039798746
50,3,Dewick,0.111201584,0.100787859
50,3,Dowling Hall,0.209587595,0.110997031
50,3,Goddard Chapel,0.088355658,0.066220389
50,3,Olin Center,0.124489607,0.049884527
50,3,Tisch Library,0.144281095,0.089600792
51,3,Brown & Brew,0.153361927,0.072084461
51,3,Campus Center,0.114115473,0.048188717
51,3,Carmichael Hall,0.062787859,-0.055227318
51,3,Dewick,0.083266909,-0.064069284
51,3,Dowling Hall,0.064005279,0.028711316
51,3,Goddard Chapel,0.093193006,0.073363246
51,3,Olin Center,0.05578093,-0.048401188
51,3,Tisch Library,0.097916199,0.041029363
52,3,Brown & Brew,0.158866381,0.052084461
52,3,Campus Center,0.125861432,-0.007525569
52,3,Carmichael Hall,0.080242824,0.033058397
52,3,Dewick,0.086225668,-0.056640713
52,3,Dowling Hall,0.11687034,-0.011574398
52,3,Goddard Chapel,0.097934675,0.097934675
52,3,Olin Center,0.0833065,0.041027384
52,3,Tisch Library,0.091317717,0.017600792
53,3,Brown & Brew,0.074843946,-0.054772682
53,3,Campus Center,0.056244144,-0.027811283
53,3,Carmichael Hall,0.08621643,-0.083227318
53,3,Dewick,0.101569119,-0.086640713
53,3,Dowling Hall,0.069646981,-0.049574398
53,3,Goddard Chapel,0.027394919,0.010220389
53,3,Olin Center,0.06147806,-0.049544045
53,3,Tisch Library,0.056170241,-0.052684922
54,3,Brown & Brew,0.087059056,-0.007915539
54,3,Campus Center,0.162281095,0.049617288
54,3,Carmichael Hall,0.132178819,-0.125513032
54,3,Dewick,0.139319696,-0.114926427
54,3,Dowling Hall,0.075829099,-0.015574398
54,3,Goddard Chapel,0.130226328,0.117363246
54,3,Olin Center,0.083420653,0.002455955
54,3,Tisch Library,0.106917849,-0.050970637
55,3,Brown & Brew,0.264387331,-0.052772682
55,3,Campus Center,0.187835698,-0.002382712
55,3,Carmichael Hall,0.239629825,0.239629825
55,3,Dewick,0.168007918,-0.074640713
55,3,Dowling Hall,0.27134873,0.267282745
55,3,Goddard Chapel,0.162983174,0.014220389
55,3,Olin Center,0.256684922,-0.072401188
55,3,Tisch Library,0.165539426,-0.012970637
56,3,Brown & Brew,0.044328604,-0.020486968
56,3,Campus Center,0.159257011,0.044760145
56,3,Carmichael Hall,0.173798746,-0.173798746
56,3,Dewick,0.193557242,0.026502145
56,3,Dowling Hall,0.183860112,-0.183860112
56,3,Goddard Chapel,0.082171561,-0.061779611
56,3,Olin Center,0.126867041,-0.106401188
56,3,Tisch Library,0.11660838,-0.094970637
57,3,Brown & Brew,0.181833058,0.008655889
57,3,Campus Center,0.08908743,-0.042668426
57,3,Carmichael Hall,0.126812273,0.073058397
57,3,Dewick,0.143280106,-0.020640713
57,3,Dowling Hall,0.108973276,-0.038431541
57,3,Goddard Chapel,0.107420653,0.043648961
57,3,Olin Center,0.135095348,0.087884527
57,3,Tisch Library,0.078244144,-0.008970637
59,3,Brown & Brew,0.200975916,-0.043629825
59,3,Campus Center,0.13995843,-0.011525569
59,3,Carmichael Hall,0.092424282,-0.004370175
59,3,Dewick,0.138763444,-0.054640713
59,3,Dowling Hall,0.140748928,0.115282745
59,3,Goddard Chapel,0.097231277,0.069934675
59,3,Olin Center,0.121886506,0.109598812
59,3,Tisch Library,0.129952491,0.029886506
60,3,Brown & Brew,0.106197954,-0.053915539
60,3,Campus Center,0.110852524,-0.014954141
60,3,Carmichael Hall,0.184370175,-0.184370175
60,3,Dewick,0.110320026,-0.088926427
60,3,Dowling Hall,0.042445398,-0.018717255
60,3,Goddard Chapel,0.102399868,0.019934675
60,3,Olin Center,0.073315078,-0.065829759
60,3,Tisch Library,0.112735731,-0.080970637
61,3,Brown & Brew,0.147089409,-0.039344111
61,3,Campus Center,0.070815572,-0.002954141
61,3,Carmichael Hall,0.100138568,-0.044084461
61,3,Dewick,0.141227318,-0.066640713
61,3,Dowling Hall,0.102188717,0.002711316
61,3,Goddard Chapel,0.095905642,-0.024636754
61,3,Olin Center,0.077658199,-0.042401188
61,3,Tisch Library,0.074675025,-0.058399208
62,3,Brown & Brew,0.114070604,0.086370175
62,3,Campus Center,0.131709667,-0.068954141
62,3,Carmichael Hall,0.10004487,-0.086941603
62,3,Dewick,0.062310129,0.021073573
62,3,Dowling Hall,0.062170241,0.003282745
62,3,Goddard Chapel,0.061022765,-0.020351039
62,3,Olin Center,0.134678324,-0.057829759
62,3,Tisch Library,0.083439789,0.003029363
63,3,Brown & Brew,0.151289343,-0.003058397
63,3,Campus Center,0.072444078,0.026188717
63,3,Carmichael Hall,0.102188057,-0.073798746
63,3,Dewick,0.150605741,-0.073212141
63,3,Dowling Hall,0.06112966,0.033854174
63,3,Goddard Chapel,0.100101617,0.029934675
63,3,Olin Center,0.149658199,0.003313098
63,3,Tisch Library,0.109054437,-0.072684922
65,3,Brown & Brew,0.071031343,0.069227318
65,3,Campus Center,0.078727153,-0.001239855
65,3,Carmichael Hall,0.14078258,0.139344111
65,3,Dewick,0.097026064,0.015930716
65,3,Dowling Hall,0.078122072,0.038425602
65,3,Goddard Chapel,0.049930056,0.008506104
65,3,Olin Center,0.131844936,-0.008115473
65,3,Tisch Library,0.039476081,-0.015542065
66,3,Brown & Brew,0.109551303,-0.013344111
66,3,Campus Center,0.07425998,-0.030382712
66,3,Carmichael Hall,0.075902342,-0.068655889
66,3,Dewick,0.13056417,-0.120926427
66,3,Dowling Hall,0.062431541,-0.062431541
66,3,Goddard Chapel,0.051975586,-0.031493896
66,3,Olin Center,0.144638073,-0.017829759
66,3,Tisch Library,0.074555592,-0.012970637
67,3,Brown & Brew,0.167066315,0.159227318
67,3,Campus Center,0.090288354,0.064760145
67,3,Carmichael Hall,0.064841966,0.011344111
67,3,Dewick,0.108341142,0.100502145
67,3,Dowling Hall,0.103016826,0.060711316
67,3,Goddard Chapel,0.134004619,0.123648961
67,3,Olin Center,0.142809634,0.095027384
67,3,Tisch Library,0.083516991,0.067315078
69,3,Brown & Brew,0.265513032,0.265513032
69,3,Campus Center,0.190401188,0.008474431
69,3,Carmichael Hall,0.16704322,-0.112655889
69,3,Dewick,0.135582316,-0.06178357
69,3,Dowling Hall,0.167617288,0.004711316
69,3,Goddard Chapel,0.14734675,0.076220389
69,3,Olin Center,0.14613065,-0.056115473
69,3,Tisch Library,0.165268228,0.088457935
73,4,Brown & Brew,0.129637743,0.123513032
73,4,Campus Center,0.15317453,0.099045859
73,4,Carmichael Hall,0.185793468,0.112486968
73,4,Dewick,0.104489607,0.082502145
73,4,Dowling Hall,0.099800066,0.091854174
73,4,Goddard Chapel,0.144945563,0.118220389
73,4,Olin Center,0.09461036,0.031027384
73,4,Tisch Library,0.108125371,0.054743649
74,4,Brown & Brew,0.162500825,0.072084461
74,4,Campus Center,0.08412867,0.050188717
74,4,Carmichael Hall,0.095851534,0.015058397
74,4,Dewick,0.140972616,0.106502145
74,4,Dowling Hall,0.108665127,0.068139888
74,4,Goddard Chapel,0.089083471,0.068791818
74,4,Olin Center,0.165315078,0.143313098
74,4,Tisch Library,0.108655229,0.016743649
75,4,Brown & Brew,0.131619927,-0.001629825
75,4,Campus Center,0.107861432,0.024760145
75,4,Carmichael Hall,0.128370175,-0.128370175
75,4,Dewick,0.146188717,-0.091497855
75,4,Dowling Hall,0.076134609,-0.021574398
75,4,Goddard Chapel,0.12526295,0.061363246
75,4,Olin Center,0.096704058,-0.086972616
75,4,Tisch Library,0.105274167,0.025886506
76,4,Brown & Brew,0.188659188,-0.147058397
76,4,Campus Center,0.089931376,-0.086954141
76,4,Carmichael Hall,0.214655889,-0.214655889
76,4,Dewick,0.107135599,-0.100926427
76,4,Dowling Hall,0.095460904,-0.053860112
76,4,Goddard Chapel,0.070351039,-0.070351039
76,4,Olin Center,0.145258331,-0.145258331
76,4,Tisch Library,0.094442758,-0.085256351
77,4,Brown & Brew,0.06469416,0.001798746
77,4,Campus Center,0.067117123,-0.054668426
77,4,Carmichael Hall,0.078749588,-0.058084461
77,4,Dewick,0.067959089,-0.048354998
77,4,Dowling Hall,0.050420323,-0.026717255
77,4,Goddard Chapel,0.058806994,-0.035779611
77,4,Olin Center,0.050401188,0.029027384
77,4,Tisch Library,0.039631805,-0.024113494
78,4,Brown & Brew,0.104500825,0.051798746
78,4,Campus Center,0.071371165,-0.032668426
78,4,Carmichael Hall,0.083227318,-0.083227318
78,4,Dewick,0.117135599,-0.109212141
78,4,Dowling Hall,0.064962059,0.010997031
78,4,Goddard Chapel,0.090539756,0.035934675
78,4,Olin Center,0.133127021,0.013313098
78,4,Tisch Library,0.05060838,-0.042684922
79,4,Brown & Brew,0.166677004,0.158084461
79,4,Campus Center,0.102401188,0.007331574
79,4,Carmichael Hall,0.101227318,-0.101227318
79,4,Dewick,0.086605741,-0.058354998
79,4,Dowling Hall,0.090141208,0.027282745
79,4,Goddard Chapel,0.127815902,0.014791818
79,4,Olin Center,0.120418344,-0.074686902
79,4,Tisch Library,0.048981194,-0.004970637
80,4,Brown & Brew,0.169915539,-0.169915539
80,4,Campus Center,0.189525569,-0.189525569
